,name,industry,key_process,product_solution
7588,wuxi apptec,pharmaceuticals,Transactions,SG Global Cash
7589,oberthur technologies,information technology and services,Transactions,SG Global Cash
7615,lexisnexis risk solutions,information technology and services,Transactions,SG Global Cash
7622,firestone,automotive,Transactions,SG Global Cash
7632,synnex,information technology and services,Transactions,SG Global Cash
7637,pt astra honda motor,automotive,Transactions,SG Global Cash
7639,ipiranga produtos de petróleo,oil & energy,Transactions,SG Global Cash
7641,"ashfield, part of udg healthcare plc",pharmaceuticals,Transactions,SG Global Cash
7647,kongsberg automotive,automotive,Transactions,SG Global Cash
7659,groupe snef,information technology and services,Transactions,SG Global Cash
7665,andeavor,oil & energy,Transactions,SG Global Cash
7678,pharmerica,pharmaceuticals,Transactions,SG Global Cash
7682,carquest auto parts,automotive,Transactions,SG Global Cash
7694,adma-opco,oil & energy,Transactions,SG Global Cash
7716,sakhalin energy,oil & energy,Transactions,SG Global Cash
7718,neste,oil & energy,Transactions,SG Global Cash
7726,avnet technology solutions,information technology and services,Transactions,SG Global Cash
7731,dcp midstream,oil & energy,Transactions,SG Global Cash
7736,ips,pharmaceuticals,Transactions,SG Global Cash
7740,essent,oil & energy,Transactions,SG Global Cash
7743,solar turbines,oil & energy,Transactions,SG Global Cash
7745,ibermática,information technology and services,Transactions,SG Global Cash
7752,ericsson india,information technology and services,Transactions,SG Global Cash
7757,ssp,information technology and services,Transactions,SG Global Cash
7784,hill's pet nutrition,consumer goods,Transactions,SG Global Cash
7808,aston martin lagonda ltd,automotive,Transactions,SG Global Cash
7812,praxis,information technology and services,Transactions,SG Global Cash
7818,krka,pharmaceuticals,Transactions,SG Global Cash
7827,n/a - but ready for a new challenge,information technology and services,Transactions,SG Global Cash
7835,peugeot,automotive,Transactions,SG Global Cash
7839,happiest minds technologies,information technology and services,Transactions,SG Global Cash
7846,quala s.a.,consumer goods,Transactions,SG Global Cash
7853,ollwin international,information technology and services,Transactions,SG Global Cash
7858,eltel networks,information technology and services,Transactions,SG Global Cash
7859,nuon,oil & energy,Transactions,SG Global Cash
7871,indesit company,consumer goods,Transactions,SG Global Cash
7873,- nil -,oil & energy,Transactions,SG Global Cash
7875,verizon connect,information technology and services,Transactions,SG Global Cash
7901,g&p,information technology and services,Transactions,SG Global Cash
7907,"coca-cola bottling company united, inc.",consumer goods,Transactions,SG Global Cash
7918,cairn india ltd,oil & energy,Transactions,SG Global Cash
7931,maserati,automotive,Transactions,SG Global Cash
7940,volkswagen india,automotive,Transactions,SG Global Cash
7964,independent consultant,information technology and services,Transactions,SG Global Cash
7971,infinitus china company ltd,consumer goods,Transactions,SG Global Cash
7996,kpm,information technology and services,Transactions,SG Global Cash
8016,pttep,oil & energy,Transactions,SG Global Cash
8023,msd sharp & dohme gmbh,pharmaceuticals,Transactions,SG Global Cash
8024,innodata inc.,information technology and services,Transactions,SG Global Cash
8025,renault nissan automotive india pvt ltd.,automotive,Transactions,SG Global Cash
8028,saudi bin ladin group,information technology and services,Transactions,SG Global Cash
8029,iecisa,information technology and services,Transactions,SG Global Cash
8031,hyundai mobis,automotive,Transactions,SG Global Cash
8041,acuren,oil & energy,Transactions,SG Global Cash
8044,jamberry,consumer goods,Transactions,SG Global Cash
8046,libre,information technology and services,Transactions,SG Global Cash
8055,hcl bpo,information technology and services,Transactions,SG Global Cash
8056,it solutions,information technology and services,Transactions,SG Global Cash
8072,jostens,consumer goods,Transactions,SG Global Cash
8073,clarivate analytics,information technology and services,Transactions,SG Global Cash
8087,croonwolter&dros,information technology and services,Transactions,SG Global Cash
8096,kostal group,automotive,Transactions,SG Global Cash
8100,oneok,oil & energy,Transactions,SG Global Cash
8101,siemens information systems ltd,information technology and services,Transactions,SG Global Cash
8103,bureau veritas consumer products services,consumer goods,Transactions,SG Global Cash
8140,citiustech,information technology and services,Transactions,SG Global Cash
8143,edgeverve,information technology and services,Transactions,SG Global Cash
8146,petronas lubricants international,oil & energy,Transactions,SG Global Cash
8161,tupy,automotive,Transactions,SG Global Cash
8162,murphy oil,oil & energy,Transactions,SG Global Cash
8170,knowit,information technology and services,Transactions,SG Global Cash
8178,copart,automotive,Transactions,SG Global Cash
8179,key energy services,oil & energy,Transactions,SG Global Cash
8203,tower international,automotive,Transactions,SG Global Cash
8225,american tire distributors,automotive,Transactions,SG Global Cash
8231,"miracle software systems, inc",information technology and services,Transactions,SG Global Cash
8248,samsonite,consumer goods,Transactions,SG Global Cash
8253,particular,information technology and services,Transactions,SG Global Cash
8270,em casa,information technology and services,Transactions,SG Global Cash
8273,oil & gas development company ltd. pakistan,oil & energy,Transactions,SG Global Cash
8279,inpex,oil & energy,Transactions,SG Global Cash
8311,spie oil & gas services,oil & energy,Transactions,SG Global Cash
8319,ford otosan,automotive,Transactions,SG Global Cash
8334,robert bosch tool corporation,consumer goods,Transactions,SG Global Cash
8335,odfjell drilling,oil & energy,Transactions,SG Lyxor AP
8356,naftal spa,oil & energy,Transactions,SG Global Cash
8364,magna infotech,information technology and services,Transactions,SG Lyxor AP
8369,università degli studi di palermo,pharmaceuticals,Transactions,SG Global Cash
8381,business & decision,information technology and services,Transactions,SG Global Cash
8387,taqa,oil & energy,Transactions,SG Global Cash
8393,internet solutions,information technology and services,Transactions,SG Global Cash
