,name,industry,key_process,product_solution
2760,sbi life insurance co. ltd.,insurance,Asset Management,SG Lyxor AP
2817,health net,insurance,Asset Management,SG MyHedge
2840,seguros monterrey new york life,insurance,Asset Management,SG MyHedge
2914,blue shield of california,insurance,Asset Management,SG MyHedge
2983,icici lombard,insurance,Asset Management,SG MyHedge
3027,allianz france,insurance,Asset Management,SG MyHedge
3040,groupama,insurance,Asset Management,SG MyHedge
3061,ag2r la mondiale,insurance,Asset Management,SG MyHedge
3080,"csaa insurance group, a aaa insurer",insurance,Asset Management,SG Lyxor AP
3109,american income life insurance company,insurance,Asset Management,SG Lyxor AP
3156,crawford & company,insurance,Asset Management,SG Lyxor AP
3256,erie insurance group,insurance,Asset Management,SG Lyxor AP
3260,highmark inc.,insurance,Asset Management,SG Lyxor AP
3390,carefirst bluecross blueshield,insurance,Asset Management,SG Lyxor AP
3394,great-west life,insurance,Asset Management,SG Lyxor AP
3395,bradesco seguros,insurance,Asset Management,SG Lyxor AP
3413,coventry health care,insurance,Asset Management,SG Lyxor AP
3444,allianz global assistance,insurance,Asset Management,SG Lyxor AP
3453,genworth financial,insurance,Asset Management,SG Lyxor AP
3494,horizon blue cross blue shield of new jersey,insurance,Asset Management,SG MyHedge
3522,allianz life,insurance,Asset Management,SG MyHedge
3615,direct line group,insurance,Asset Management,SG MyHedge
3620,unipolsai assicurazioni spa,insurance,Asset Management,SG MyHedge
3622,the hanover insurance group,insurance,Asset Management,SG MyHedge
3636,state farm,insurance,Asset Management,SG MyHedge
3652,the co-operators,insurance,Asset Management,SG MyHedge
3691,gallagher bassett,insurance,Asset Management,SG Lyxor AP
3706,independence blue cross,insurance,Asset Management,SG Lyxor AP
3751,munich re (group),insurance,Asset Management,SG Lyxor AP
3794,stewart title,insurance,Asset Management,SG Lyxor AP
3879,farm bureau financial services,insurance,Asset Management,SG MyHedge
3901,great american insurance,insurance,Asset Management,SG MyHedge
3982,chartis,insurance,Asset Management,SG MyHedge
4027,bluecross blueshield of south carolina,insurance,Asset Management,SG MyHedge
4062,nfu mutual,insurance,Asset Management,SG MyHedge
4197,tata aig life insurance,insurance,Asset Management,SG MyHedge
4248,allianz global corporate & specialty (agcs),insurance,Asset Management,SG MyHedge
4284,länsförsäkringar,insurance,Asset Management,SG Lyxor AP
4305,nationwide insurance,insurance,Asset Management,SG Lyxor AP
4392,combined insurance,insurance,Asset Management,SG Lyxor AP
4396,prime therapeutics,insurance,Asset Management,SG Lyxor AP
4415,"amtrust financial services, inc. (afsi)",insurance,Asset Management,SG MyHedge
4422,aaa,insurance,Asset Management,SG MyHedge
4448,if p&c insurance,insurance,Asset Management,SG MyHedge
4457,axa equitable,insurance,Asset Management,SG MyHedge
4505,cuna mutual group,insurance,Asset Management,SG MyHedge
4557,upmc health plan,insurance,Asset Management,SG MyHedge
4561,coface,insurance,Asset Management,SG MyHedge
4578,bcbsnc,insurance,Asset Management,SG Lyxor AP
4599,the auto club group,insurance,Asset Management,SG Lyxor AP
4663,aviva canada,insurance,Asset Management,SG Lyxor AP
4676,zenith bank group,insurance,Asset Management,SG Lyxor AP
4733,milliman,insurance,Asset Management,SG Lyxor AP
4811,alleanza assicurazioni,insurance,Asset Management,SG MyHedge
4848,rimac seguros y reaseguros,insurance,Asset Management,SG MyHedge
4873,xxx,insurance,Asset Management,SG MyHedge
4914,desjardins groupe d'assurances générales,insurance,Asset Management,SG MyHedge
4930,bluecross blueshield of tennessee,insurance,Asset Management,SG MyHedge
4946,picc,insurance,Asset Management,SG MyHedge
4962,the cincinnati insurance companies,insurance,Asset Management,SG MyHedge
5033,pacific life,insurance,Asset Management,SG Lyxor AP
5050,insurance corporation of british columbia,insurance,Asset Management,SG Lyxor AP
5063,blue cross and blue shield of minnesota,insurance,Asset Management,SG Lyxor AP
5068,shelter insurance companies,insurance,Asset Management,SG Lyxor AP
5179,national general insurance,insurance,Asset Management,SG Lyxor AP
5201,mma assurances,insurance,Asset Management,SG MyHedge
5212,american national,insurance,Asset Management,SG MyHedge
5218,t.c. sosyal güvenlik kurumu,insurance,Asset Management,SG MyHedge
5229,tata aig,insurance,Asset Management,SG MyHedge
5254,pzu,insurance,Asset Management,SG MyHedge
5266,ag insurance,insurance,Asset Management,SG MyHedge
5307,kotak life insurance,insurance,Asset Management,SG MyHedge
5322,auto-owners insurance,insurance,Asset Management,SG Lyxor AP
5344,jlt group,insurance,Asset Management,SG Lyxor AP
5402,blue cross blue shield of massachusetts,insurance,Asset Management,SG Lyxor AP
5406,a.s.r. de nederlandse verzekeringsmaatschappij voor alle verzekeringen,insurance,Asset Management,SG Lyxor AP
5429,sulamérica,insurance,Asset Management,SG Lyxor AP
5441,brown & brown insurance,insurance,Asset Management,SG MyHedge
5575,taikang life insurance (泰康人寿),insurance,Asset Management,SG MyHedge
5583,safeco insurance,insurance,Asset Management,SG MyHedge
5648,achs,insurance,Asset Management,SG MyHedge
5666,axa assistance,insurance,Asset Management,SG MyHedge
5717,sentry insurance,insurance,Asset Management,SG MyHedge
5734,allianz italia,insurance,Asset Management,SG MyHedge
5768,nylife securities llc,insurance,Asset Management,SG Lyxor AP
5780,gjensidige,insurance,Asset Management,SG Lyxor AP
5799,star health and allied insurance co. ltd,insurance,Asset Management,SG Lyxor AP
5835,sunshine insurance group,insurance,Asset Management,SG Lyxor AP
5839,euler hermes,insurance,Asset Management,SG Lyxor AP
5859,malakoff médéric,insurance,Asset Management,SG Lyxor AP
5921,state compensation insurance fund,insurance,Asset Management,SG Lyxor AP
5946,exide life insurance,insurance,Asset Management,SG Lyxor AP
5973,aon benfield,insurance,Asset Management,SG Lyxor AP
6028,bajaj allianz life insurance co. ltd.,insurance,Asset Management,SG MyHedge
6037,automobile club of southern california,insurance,Asset Management,SG MyHedge
6049,cigna group insurance,insurance,Asset Management,SG MyHedge
6143,premera blue cross,insurance,Asset Management,SG MyHedge
6196,metropolitan,insurance,Asset Management,SG MyHedge
6250,uniqa,insurance,Asset Management,SG MyHedge
6257,corvel corporation,insurance,Asset Management,SG MyHedge
6398,amica mutual insurance,insurance,Asset Management,SG Lyxor AP
6400,cunningham lindsey,insurance,Asset Management,SG Lyxor AP
6414,groupe macif,insurance,Asset Management,SG Lyxor AP
6455,scor,insurance,Asset Management,SG Lyxor AP
6534,gnp seguros,insurance,Asset Management,SG Lyxor AP
6580,alliant insurance services,insurance,Asset Management,SG MyHedge
6617,hollard insurance,insurance,Asset Management,SG MyHedge
6645,united india insurance company limited,insurance,Asset Management,SG MyHedge
6656,excellus bcbs,insurance,Asset Management,SG MyHedge
6658,guy carpenter,insurance,Asset Management,SG MyHedge
6668,delta dental,insurance,Asset Management,SG MyHedge
6735,mutual de seguridad,insurance,Asset Management,SG MyHedge
6743,maif,insurance,Asset Management,SG Lyxor AP
6780,folksam,insurance,Asset Management,SG Lyxor AP
6790,maaf assurances - groupe covéa,insurance,Asset Management,SG Lyxor AP
6796,qbe north america,insurance,Asset Management,SG MyHedge
6803,workplace safety and insurance board (wsib),insurance,Asset Management,SG MyHedge
6805,crédit agricole assurances,insurance,Asset Management,SG MyHedge
6852,medibank,insurance,Asset Management,SG MyHedge
6938,caresource,insurance,Asset Management,SG MyHedge
6952,protective life,insurance,Asset Management,SG MyHedge
7017,santam insurance,insurance,Asset Management,SG MyHedge
7060,zurich insurance plc,insurance,Asset Management,SG Lyxor AP
7099,"reinsurance group of america, incorporated",insurance,Asset Management,SG Lyxor AP
7122,knights of columbus,insurance,Asset Management,SG Lyxor AP
7187,bharti axa life insurance,insurance,Asset Management,SG Lyxor AP
7194,delta lloyd,insurance,Asset Management,SG Lyxor AP
7198,ergo versicherungsgruppe ag,insurance,Asset Management,SG Lyxor AP
7251,telesure group services,insurance,Asset Management,SG Lyxor AP
7275,homeserve,insurance,Asset Management,SG Lyxor AP
7295,farmers insurance group of companies,insurance,Asset Management,SG Lyxor AP
7328,state auto insurance,insurance,Asset Management,SG Lyxor AP
7357,helvetia versicherungen schweiz,insurance,Asset Management,SG Lyxor AP
7446,reliance life insurance,insurance,Asset Management,SG Lyxor AP
7477,cnp assurances,insurance,Asset Management,SG Lyxor AP
7503,medica,insurance,Asset Management,SG Lyxor AP
7545,markel corporation,insurance,Asset Management,SG Lyxor AP
7560,mercury insurance,insurance,Asset Management,SG MyHedge
7570,seguros,insurance,Asset Management,SG MyHedge
7595,kemper,insurance,Asset Management,SG MyHedge
7607,pacífico seguros,insurance,Asset Management,SG MyHedge
7614,tufts health plan,insurance,Asset Management,SG MyHedge
7625,york risk services group,insurance,Asset Management,SG MyHedge
7668,national insurance co. ltd,insurance,Asset Management,SG MyHedge
7675,hiscox,insurance,Asset Management,SG Lyxor AP
7677,outsurance,insurance,Asset Management,SG Lyxor AP
7711,"ping an property& casualty insurance company of china, ltd. 中国平安财产保险股份有限公司",insurance,Asset Management,SG Lyxor AP
7739,esurance,insurance,Asset Management,SG Lyxor AP
7804,vsp vision care,insurance,Asset Management,SG Lyxor AP
7806,prudential assurance malaysia berhad,insurance,Asset Management,SG Lyxor AP
7821,pps,insurance,Asset Management,SG Lyxor AP
7862,philadelphia insurance companies,insurance,Asset Management,SG Lyxor AP
7870,selective insurance,insurance,Asset Management,SG MyHedge
7877,desjardins financial security life assurance company,insurance,Asset Management,SG MyHedge
7889,mgen,insurance,Asset Management,SG MyHedge
7959,aaa auto club south,insurance,Asset Management,SG MyHedge
7980,future generali india life insurance co,insurance,Asset Management,SG MyHedge
8005,arthur j. gallagher & co.,insurance,Asset Management,SG MyHedge
8015,sagicor life insurance company,insurance,Asset Management,SG MyHedge
8039,česká pojišťovna,insurance,Asset Management,SG Lyxor AP
8065,towergate insurance,insurance,Asset Management,SG Lyxor AP
8074,"new china life insurance co., ltd.",insurance,Asset Management,SG Lyxor AP
8114,allstate insurance agency,insurance,Asset Management,SG Lyxor AP
8125,horace mann,insurance,Asset Management,SG Lyxor AP
8149,topdanmark - forsikring og pension,insurance,Asset Management,SG Lyxor AP
8167,the oriental insurance company ltd.,insurance,Asset Management,SG Lyxor AP
8169,efu life assurance ltd.,insurance,Asset Management,SG Lyxor AP
8211,rbc insurance,insurance,Asset Management,SG Lyxor AP
8215,assurance,insurance,Asset Management,SG Lyxor AP
8275,economical insurance,insurance,Asset Management,SG MyHedge
8378,reliance general insurance,insurance,Asset Management,SG MyHedge
8398,amwins group,insurance,Asset Management,SG MyHedge
8429,unipol assicurazioni,insurance,Asset Management,SG MyHedge
8544,tryg,insurance,Asset Management,SG MyHedge
8568,atradius,insurance,Asset Management,SG MyHedge
8634,ameritas,insurance,Asset Management,SG MyHedge
8641,gan assurances,insurance,Asset Management,SG Lyxor AP
8643,fidelis care,insurance,Asset Management,SG Lyxor AP
8706,federated insurance,insurance,Asset Management,SG Lyxor AP
8799,liberty national life insurance company,insurance,Asset Management,SG Lyxor AP
8812,reale mutua assicurazioni,insurance,Asset Management,SG Lyxor AP
8847,accident compensation corporation (acc),insurance,Asset Management,SG Lyxor AP
8887,cz,insurance,Asset Management,SG Lyxor AP
8968,grupo segurador banco do brasil e mapfre,insurance,Asset Management,SG Lyxor AP
9120,seguros bolívar s.a.,insurance,Asset Management,SG Lyxor AP
9135,wawanesa insurance,insurance,Asset Management,SG Lyxor AP
9218,independent health,insurance,Asset Management,SG Lyxor AP
9326,la capitale,insurance,Asset Management,SG MyHedge
9341,hdi seguros,insurance,Asset Management,SG MyHedge
9390,wells fargo insurance services,insurance,Asset Management,SG MyHedge
9429,cno financial group,insurance,Asset Management,SG MyHedge
9499,blue cross and blue shield of alabama,insurance,Asset Management,SG MyHedge
9500,alfa insurance,insurance,Asset Management,SG MyHedge
9517,prudential assurance,insurance,Asset Management,SG MyHedge
9645,medical mutual,insurance,Asset Management,SG Lyxor AP
9672,hartford steam boiler,insurance,Asset Management,SG Lyxor AP
9674,allianz australia  limited,insurance,Asset Management,SG Lyxor AP
9691,sompo seguros,insurance,Asset Management,SG Lyxor AP
9692,humanis - groupe de protection sociale,insurance,Asset Management,SG Lyxor AP
9739,metlife alico,insurance,Asset Management,SG Lyxor AP
9824,the new india assurance co. ltd.,insurance,Asset Management,SG Lyxor AP
9840,"genex services, inc.",insurance,Asset Management,SG Lyxor AP
9906,insphere insurance solutions,insurance,Asset Management,SG Lyxor AP
9939,tokio marine seguradora s/a,insurance,Asset Management,SG Lyxor AP
72,my home,publishing,Financing,SG Coop
2241,néant,publishing,Financing,SG Coop
2262,oxford university press,publishing,Financing,SG Coop
2416,my helper wears a fur suit,publishing,Financing,SG Coop
3531,john wiley and sons,publishing,Financing,SG Coop
3786,scholastic,publishing,Financing,SG Coop
3789,penguin random house,publishing,Financing,SG Coop
3885,springer nature,publishing,Financing,SG Coop
4074,vice media,publishing,Financing,SG Coop
4703,meredith corporation,publishing,Financing,SG Coop
5121,national geographic,publishing,Financing,SG MyHedge
5268,time inc.,publishing,Financing,SG MyHedge
5471,cambridge university press,publishing,Financing,SG MyHedge
5474,mondadori,publishing,Financing,SG MyHedge
5592,harpercollins publishers,publishing,Financing,SG MyHedge
5744,news corp australia,publishing,Financing,SG MyHedge
5849,aptara,publishing,Financing,SG MyHedge
6601,forbes,publishing,Financing,SG Coop
7209,guardian news & media,publishing,Financing,SG Coop
7216,hearst magazines,publishing,Financing,SG Coop
7249,not available la,publishing,Financing,SG Coop
7396,entrepreneur,publishing,Financing,SG Coop
7510,"publica, s.l.",publishing,Financing,SG Coop
8578,lifeway christian resources,publishing,Financing,SG Coop
8740,sage publications,publishing,Financing,SG Coop
8934,rcs mediagroup,publishing,Financing,SG Coop
9005,il sole 24 ore,publishing,Financing,SG Coop
9208,macmillan,publishing,Financing,SG Coop
9333,india today,publishing,Financing,SG Coop
9459,acp,publishing,Financing,SG Coop
9468,axel springer se,publishing,Financing,SG Coop
9614,vogue,publishing,Financing,SG Coop
9689,taylor & francis group,publishing,Financing,SG Coop
97,barclays,financial services,Flow & Hedging,SG MyHedge
203,state bank of india,banking,Flow & Hedging,SG MyHedge
299,bradesco,banking,Flow & Hedging,SG MyHedge
581,kotak mahindra bank,banking,Flow & Hedging,SG MyHedge
856,indusind bank,banking,Flow & Hedging,SG MyHedge
1014,bmo harris bank,banking,Flow & Hedging,SG Analytics
1314,lloyds bank,banking,Flow & Hedging,SG Analytics
1347,union bank,banking,Flow & Hedging,SG Analytics
1578,united overseas bank limited (uob),banking,Flow & Hedging,SG MyHedge
1607,abnamro bank (china) co.ltd,banking,Flow & Hedging,SG MyHedge
1989,bnl gruppo bnp paribas,banking,Flow & Hedging,SG MyHedge
2165,banco do brasil,banking,Flow & Hedging,SG MyHedge
2223,investec,banking,Flow & Hedging,SG MyHedge
122,scotiabank,banking,Investments,SG Analytics
133,standard chartered bank,banking,Investments,SG Analytics
147,hdfc bank,banking,Investments,SG Analytics
163,capital one,financial services,Investments,SG Analytics
171,anz,banking,Investments,SG MyHedge
313,abn amro bank n.v.,banking,Investments,SG MyHedge
367,prudential financial,financial services,Investments,SG MyHedge
383,bb&t,financial services,Investments,SG MyHedge
554,vanguard,financial services,Investments,SG Analytics
644,first data corporation,financial services,Investments,SG Analytics
645,charles schwab,financial services,Investments,SG Analytics
705,bnp paribas fortis,banking,Investments,SG Clearing Solutions
871,diebold nixdorf,financial services,Investments,SG Clearing Solutions
962,tiaa,financial services,Investments,SG Clearing Solutions
1008,banamex,banking,Investments,SG Clearing Solutions
1027,s&p global market intelligence,financial services,Investments,SG Analytics
1263,nationwide building society,financial services,Investments,SG Analytics
1362,bank of ireland,banking,Investments,SG MyHedge
1364,franklin templeton investments,financial services,Investments,SG MyHedge
1402,lincoln financial group,financial services,Investments,SG MyHedge
1581,yapı kredi,banking,Investments,SG MyHedge
1758,emirates nbd,banking,Investments,SG Analytics
1775,ocbc bank,banking,Investments,SG Analytics
1867,broadridge,financial services,Investments,SG Analytics
2210,agence robijen,banking,Investments,SG Analytics
62,morgan stanley,financial services,Securities Services,SG D-View
73,td,banking,Securities Services,SG D-View
155,u.s. bank,banking,Securities Services,SG D-View
230,edward jones,financial services,Securities Services,SG D-View
263,new york life insurance company,financial services,Securities Services,SG D-View
404,absa,financial services,Securities Services,SG D-View
558,blackrock,financial services,Securities Services,SG D-View
571,regions bank,banking,Securities Services,SG MyHedge
587,wells fargo home mortgage,banking,Securities Services,SG MyHedge
704,citizens bank,banking,Securities Services,SG MyHedge
834,old mutual,financial services,Securities Services,SG MyHedge
843,crédit agricole,banking,Securities Services,SG D-View
872,national bank of canada,banking,Securities Services,SG D-View
997,natixis,banking,Securities Services,SG Clearing Solutions
1789,discovery limited,financial services,Securities Services,SG Clearing Solutions
2039,canara bank,banking,Securities Services,SG Clearing Solutions
2113,bancolombia,banking,Securities Services,SG Clearing Solutions
2174,bank of india,banking,Securities Services,SG D-View
121,banco santander,banking,Trading,SG Clearing Solutions
142,aon,financial services,Trading,SG Clearing Solutions
195,lloyds banking group,financial services,Trading,SG Clearing Solutions
249,standard bank group,financial services,Trading,SG Clearing Solutions
262,commonwealth bank,financial services,Trading,SG Clearing Solutions
541,chase,financial services,Trading,SG MyHedge
598,ge capital,financial services,Trading,SG MyHedge
623,m&t bank,financial services,Trading,SG MyHedge
720,bank in nigeria,banking,Trading,SG MyHedge
838,policia nacional de colombia,financial services,Trading,SG Clearing Solutions
942,nomura,financial services,Trading,SG Clearing Solutions
1013,huntington national bank,banking,Trading,SG Clearing Solutions
1279,lcl,banking,Trading,SG Clearing Solutions
1325,rbc capital markets,investment banking,Trading,SG Clearing Solutions
1383,comerica bank,banking,Trading,SG Clearing Solutions
1395,consultor de ti,financial services,Trading,SG Clearing Solutions
2221,thrivent financial,financial services,Trading,SG Clearing Solutions
0,ibm,information technology and services,Transactions,SG Global Cash
1,tata consultancy services,information technology and services,Transactions,SG Global Cash
2,accenture,information technology and services,Transactions,SG D-View
5,hewlett-packard,information technology and services,Transactions,SG D-View
6,cognizant technology solutions,information technology and services,Transactions,SG D-View
13,infosys,information technology and services,Transactions,SG D-View
22,oracle,information technology and services,Transactions,SG D-View
25,capgemini,information technology and services,Transactions,SG D-View
26,wipro technologies,information technology and services,Transactions,SG D-View
31,ericsson,information technology and services,Transactions,SG D-View
36,ford motor company,automotive,Transactions,SG D-View
40,general motors,automotive,Transactions,SG D-View
43,shell,oil & energy,Transactions,SG D-View
44,hcl technologies,information technology and services,Transactions,SG Global Cash
46,pfizer,pharmaceuticals,Transactions,SG Global Cash
47,unilever,consumer goods,Transactions,SG Global Cash
51,dell,information technology and services,Transactions,SG Global Cash
52,gsk,pharmaceuticals,Transactions,SG Global Cash
55,schlumberger,oil & energy,Transactions,SG MyHedge
65,novartis,pharmaceuticals,Transactions,SG MyHedge
67,bp,oil & energy,Transactions,SG MyHedge
77,procter & gamble,consumer goods,Transactions,SG MyHedge
83,dell emc,information technology and services,Transactions,SG MyHedge
84,tech mahindra,information technology and services,Transactions,SG MyHedge
86,sanofi,pharmaceuticals,Transactions,SG MyHedge
92,verizon,information technology and services,Transactions,SG Lyxor AP
100,fca fiat chrysler automobiles,automotive,Transactions,SG Lyxor AP
104,chevron,oil & energy,Transactions,SG Lyxor AP
109,thomson reuters,information technology and services,Transactions,SG Lyxor AP
112,cgi,information technology and services,Transactions,SG Lyxor AP
113,cvs health,pharmaceuticals,Transactions,SG Lyxor AP
114,halliburton,oil & energy,Transactions,SG Lyxor AP
115,atos,information technology and services,Transactions,SG Lyxor AP
116,pcs informatica,information technology and services,Transactions,SG Lyxor AP
118,csc,information technology and services,Transactions,SG Lyxor AP
119,merck,pharmaceuticals,Transactions,SG Lyxor AP
123,dxc technology,information technology and services,Transactions,SG MyHedge
127,petrobras,oil & energy,Transactions,SG MyHedge
134,xerox,information technology and services,Transactions,SG MyHedge
140,exxonmobil,oil & energy,Transactions,SG MyHedge
144,astrazeneca,pharmaceuticals,Transactions,SG MyHedge
150,baker hughes,oil & energy,Transactions,SG Global Cash
152,genpact,information technology and services,Transactions,SG Global Cash
157,continental,automotive,Transactions,SG Global Cash
160,saudi aramco,oil & energy,Transactions,SG Global Cash
176,total,oil & energy,Transactions,SG Global Cash
190,eli lilly and company,pharmaceuticals,Transactions,SG Global Cash
191,hp,information technology and services,Transactions,SG Global Cash
198,renault,automotive,Transactions,SG Global Cash
205,novo nordisk,pharmaceuticals,Transactions,SG Global Cash
220,edf,oil & energy,Transactions,SG Global Cash
221,prefeitura municipal,information technology and services,Transactions,SG Global Cash
234,boehringer ingelheim,pharmaceuticals,Transactions,SG Global Cash
244,valeo,automotive,Transactions,SG Global Cash
258,enterprise rent-a-car,automotive,Transactions,SG Global Cash
259,bristol-myers squibb,pharmaceuticals,Transactions,SG Global Cash
267,weatherford,oil & energy,Transactions,SG Global Cash
269,pemex,oil & energy,Transactions,SG Global Cash
270,sopra steria,information technology and services,Transactions,SG Global Cash
272,bmw group,automotive,Transactions,SG Global Cash
283,bayer,pharmaceuticals,Transactions,SG Global Cash
284,fujitsu,information technology and services,Transactions,SG Global Cash
289,fis,information technology and services,Transactions,SG Global Cash
292,ge power,oil & energy,Transactions,SG Global Cash
296,reliance,oil & energy,Transactions,SG Global Cash
304,nissan motor corporation,automotive,Transactions,SG Global Cash
305,amazon web services,information technology and services,Transactions,SG Global Cash
308,cummins inc.,automotive,Transactions,SG Global Cash
310,psa peugeot citroën,automotive,Transactions,SG Global Cash
314,cvs pharmacy,pharmaceuticals,Transactions,SG MyHedge
315,trw,automotive,Transactions,SG MyHedge
316,ncr corporation,information technology and services,Transactions,SG MyHedge
319,abbvie,pharmaceuticals,Transactions,SG MyHedge
322,jaguar land rover,automotive,Transactions,SG MyHedge
325,wipro infotech,information technology and services,Transactions,SG Global Cash
330,cerner corporation,information technology and services,Transactions,SG Global Cash
332,kimberly-clark,consumer goods,Transactions,SG Global Cash
339,indra,information technology and services,Transactions,SG Global Cash
368,saipem,oil & energy,Transactions,SG Global Cash
370,rodan + fields,consumer goods,Transactions,SG Global Cash
376,michelin,automotive,Transactions,SG Global Cash
378,sakri it solutions pvt ltd,information technology and services,Transactions,SG Lyxor AP
381,amway,consumer goods,Transactions,SG Global Cash
384,saic,information technology and services,Transactions,SG Global Cash
386,faurecia,automotive,Transactions,SG Global Cash
389,mahindra satyam,information technology and services,Transactions,SG Global Cash
391,orange business services,information technology and services,Transactions,SG Global Cash
409,mphasis,information technology and services,Transactions,SG Global Cash
416,worleyparsons,oil & energy,Transactions,SG Global Cash
419,national oilwell varco,oil & energy,Transactions,SG Global Cash
422,magna international,automotive,Transactions,SG Lyxor AP
426,no-company,information technology and services,Transactions,SG Global Cash
430,toyota,automotive,Transactions,SG Global Cash
441,delphi,automotive,Transactions,SG Global Cash
448,wood,oil & energy,Transactions,SG Global Cash
452,teksystems,information technology and services,Transactions,SG Global Cash
455,tata motors,automotive,Transactions,SG Lyxor AP
458,colgate palmolive,consumer goods,Transactions,SG Global Cash
461,tesla,automotive,Transactions,SG Clearing Solutions
466,the janssen pharmaceutical companies of johnson & johnson,pharmaceuticals,Transactions,SG Global Cash
467,bayer healthcare,pharmaceuticals,Transactions,SG Lyxor AP
477,l&t infotech,information technology and services,Transactions,SG Global Cash
478,sonatrach,oil & energy,Transactions,SG Global Cash
480,technip,oil & energy,Transactions,SG Global Cash
481,eni,oil & energy,Transactions,SG Global Cash
483,altran,information technology and services,Transactions,SG Lyxor AP
489,daimler ag,automotive,Transactions,SG Global Cash
490,lear corporation,automotive,Transactions,SG Global Cash
492,rb,consumer goods,Transactions,SG Clearing Solutions
496,accenture in india,information technology and services,Transactions,SG Global Cash
502,statoil,oil & energy,Transactions,SG Global Cash
505,fiserv,information technology and services,Transactions,SG Global Cash
506,teva pharmaceuticals,pharmaceuticals,Transactions,SG Global Cash
508,conocophillips,oil & energy,Transactions,SG MyHedge
525,pdvsa petroleos de venezuela s.a.,oil & energy,Transactions,SG MyHedge
536,kellogg company,consumer goods,Transactions,SG MyHedge
537,t-systems,information technology and services,Transactions,SG MyHedge
539,anheuser-busch inbev,consumer goods,Transactions,SG MyHedge
545,whirlpool corporation,consumer goods,Transactions,SG MyHedge
556,leidos,information technology and services,Transactions,SG MyHedge
559,henkel,consumer goods,Transactions,SG Lyxor AP
574,ppd,pharmaceuticals,Transactions,SG Lyxor AP
584,the goodyear tire & rubber company,automotive,Transactions,SG Lyxor AP
595,geen,information technology and services,Transactions,SG Lyxor AP
604,electrolux,consumer goods,Transactions,SG Lyxor AP
607,pivate institute,information technology and services,Transactions,SG Lyxor AP
608,inps,information technology and services,Transactions,SG Lyxor AP
609,general mills,consumer goods,Transactions,SG Lyxor AP
611,unisys,information technology and services,Transactions,SG Lyxor AP
624,visa,information technology and services,Transactions,SG Lyxor AP
625,dimension data,information technology and services,Transactions,SG Lyxor AP
630,general dynamics information technology,information technology and services,Transactions,SG MyHedge
638,aker solutions,oil & energy,Transactions,SG MyHedge
652,petronas,oil & energy,Transactions,SG MyHedge
654,procter & gamble,consumer goods,Transactions,SG MyHedge
659,mastercard,information technology and services,Transactions,SG MyHedge
660,volvo car group,automotive,Transactions,SG Analytics
663,scania,automotive,Transactions,SG Global Cash
670,syntel,information technology and services,Transactions,SG Global Cash
673,"alcon, a novartis company",pharmaceuticals,Transactions,SG Global Cash
674,cis,information technology and services,Transactions,SG Analytics
675,allergan,pharmaceuticals,Transactions,SG Global Cash
683,ingram micro,information technology and services,Transactions,SG Global Cash
694,msd,pharmaceuticals,Transactions,SG Global Cash
712,hcl infosystems ltd,information technology and services,Transactions,SG Global Cash
714,arbonne international llc,consumer goods,Transactions,SG Global Cash
718,indian oil corporation limited,oil & energy,Transactions,SG MyHedge
726,engie,oil & energy,Transactions,SG MyHedge
728,gartner,information technology and services,Transactions,SG MyHedge
729,parexel,pharmaceuticals,Transactions,SG MyHedge
739,ricoh americas corporation,information technology and services,Transactions,SG MyHedge
750,mahindra & mahindra,automotive,Transactions,SG MyHedge
756,verizon business,information technology and services,Transactions,SG MyHedge
766,cb&i,oil & energy,Transactions,SG Lyxor AP
769,suncor energy,oil & energy,Transactions,SG Lyxor AP
780,tieto,information technology and services,Transactions,SG Lyxor AP
783,petrofac,oil & energy,Transactions,SG Lyxor AP
792,volkswagen ag,automotive,Transactions,SG Lyxor AP
803,motorola solutions,information technology and services,Transactions,SG Lyxor AP
808,netapp,information technology and services,Transactions,SG Lyxor AP
814,repsol,oil & energy,Transactions,SG Lyxor AP
820,sandoz,pharmaceuticals,Transactions,SG Lyxor AP
827,not applicable,information technology and services,Transactions,SG Lyxor AP
833,cipla,pharmaceuticals,Transactions,SG Lyxor AP
846,caci international inc,information technology and services,Transactions,SG MyHedge
851,amadeus it group,information technology and services,Transactions,SG MyHedge
852,merck group,pharmaceuticals,Transactions,SG MyHedge
860,sogeti,information technology and services,Transactions,SG MyHedge
879,ust global,information technology and services,Transactions,SG MyHedge
880,ge oil & gas,oil & energy,Transactions,SG Global Cash
884,ntt data services,information technology and services,Transactions,SG Analytics
887,igate,information technology and services,Transactions,SG Global Cash
888,"stanley black & decker, inc.",consumer goods,Transactions,SG Global Cash
898,amec foster wheeler,oil & energy,Transactions,SG Global Cash
904,autonomo,automotive,Transactions,SG Analytics
927,cameron,oil & energy,Transactions,SG Global Cash
928,mindtree,information technology and services,Transactions,SG Global Cash
933,takeda pharmaceuticals,pharmaceuticals,Transactions,SG Global Cash
948,earthlink,information technology and services,Transactions,SG Global Cash
960,pitney bowes,information technology and services,Transactions,SG Global Cash
968,teradata,information technology and services,Transactions,SG Global Cash
976,technipfmc,oil & energy,Transactions,SG Analytics
980,ongc,oil & energy,Transactions,SG Global Cash
999,sanofi pasteur,pharmaceuticals,Transactions,SG Global Cash
1004,covance,pharmaceuticals,Transactions,SG Global Cash
1045,kpit,information technology and services,Transactions,SG Global Cash
